"Organization","Search key","Name","Description","Tax ID ","Tax Exempt","Reference No.","Category","Language","Location - 1st line","Location - 2nd line","Location - Postal code ","Location - City","Location - Region","Location - Country","Location - Phone","Location - Alternative Phone","Location - Fax","Location - Ship To Address","Location - Pay From Address","Location - Invoice To Address","Location - Remit to Address","Consumption Days","Show Generic","Show Iban","Account No","IBAN","Contact - Name","Contact - First name","Contact - Last name","Contact - Description","Contact - Email","Contact - Position ","Contact - Phone","Contact - Alternative Phone","Contact - Fax","Vendor","Vendor - PO Payment Method","Vendor - PO Payment Terms","Vendor - Purchase Pricelist","Vendor - PO Tax Category","Vendor - PO Financial Account","Customer","Customer – Payment Method","Customer - Payment terms","Customer - Price list","Customer - Tax Category","Customer – Financial Account","Customer - Invoice Schedule","Customer - Invoices Term","Employee","Employee - Is Sales Representative"
"Main","helmet5","Helmet Enterprises Ltd","High quality solar water heater, photovoltaic panels - led lighting - solar kits lighting","12926282S","FALSE",,"Vendors","es_ES",,44,26566,,,"Spain",678161124,986235212,948784333,"TRUE","TRUE","TRUE","TRUE",150,"TRUE","FALSE",555654,,"Alfred","Alfred","Lujan","Testing","alfred@testing.com","Chief officer provider",678705552,948255042,654336688,"True","Credit","Bad Value","Purchase","Standard","Customer National Testing Bank","FALSE",,,,,,,,"FALSE","FALSE"
"Main","helmet6","Helmet Enterprises Ltd","High quality solar water heater, photovoltaic panels - led lighting - solar kits lighting","12926282S","FALSE",,"Vendors","es_ES",,44,26566,,,"Spain",678161124,986235212,948784333,"TRUE","TRUE","TRUE","TRUE",150,"TRUE","FALSE",555654,,"Alfred","Alfred","Lujan","Testing","alfred@testing.com","Chief officer provider",678705552,948255042,654336688,"True","Credit","Immediate","Bad Value","Standard","Customer National Testing Bank","FALSE",,,,,,,,"FALSE","FALSE"
"Main","helmet7","Helmet Enterprises Ltd","High quality solar water heater, photovoltaic panels - led lighting - solar kits lighting","12926282S","FALSE",,"Vendors","es_ES",,44,26566,,,"Spain",678161124,986235212,948784333,"TRUE","TRUE","TRUE","TRUE",150,"TRUE","FALSE",555654,,"Alfred","Alfred","Lujan","Testing","alfred@testing.com","Chief officer provider",678705552,948255042,654336688,"True","Credit","Immediate","Purchase","Bad Value","Customer National Testing Bank","FALSE",,,,,,,,"FALSE","FALSE"
"Main","helmet8","Helmet Enterprises Ltd","High quality solar water heater, photovoltaic panels - led lighting - solar kits lighting","12926282S","FALSE",,"Vendors","es_ES",,44,26566,,,"Spain",678161124,986235212,948784333,"TRUE","TRUE","TRUE","TRUE",150,"TRUE","FALSE",555654,,"Alfred","Alfred","Lujan","Testing","alfred@testing.com","Chief officer provider",678705552,948255042,654336688,"True","Credit","Immediate","Purchase","Standard","Bad Value","FALSE",,,,,,,,"FALSE","FALSE"
"Main","helmet9","Helmet Enterprises Ltd","High quality solar water heater, photovoltaic panels - led lighting - solar kits lighting","12926282S","FALSE",,"Vendors","es_ES",,44,26566,,,"Spain",678161124,986235212,948784333,"TRUE","TRUE","TRUE","TRUE",150,"TRUE","FALSE",555654,,"Alfred","Alfred","Lujan","Testing","alfred@testing.com","Chief officer provider",678705552,948255042,654336688,"True","Credit","Immediate","Purchase","Standard","Customer National Testing Bank","Bad Value","Cash","15d","General Sales","Standard","World Testing Bank","Monthly 1st",,"FALSE","FALSE"
"Main","helmet10","Helmet Enterprises Ltd","High quality solar water heater, photovoltaic panels - led lighting - solar kits lighting","12926282S","FALSE",,"Vendors","es_ES",,44,26566,,,"Spain",678161124,986235212,948784333,"TRUE","TRUE","TRUE","TRUE",150,"TRUE","FALSE",555654,,"Alfred","Alfred","Lujan","Testing","alfred@testing.com","Chief officer provider",678705552,948255042,654336688,"True","Credit","Immediate","Purchase","Standard","Customer National Testing Bank","True","Cash","Bad Value","General Sales","Standard","World Testing Bank","Monthly 1st",,"FALSE","FALSE"
"Main","helmet11","Helmet Enterprises Ltd","High quality solar water heater, photovoltaic panels - led lighting - solar kits lighting","12926282S","FALSE",,"Vendors","es_ES",,44,26566,,,"Spain",678161124,986235212,948784333,"TRUE","TRUE","TRUE","TRUE",150,"TRUE","FALSE",555654,,"Alfred","Alfred","Lujan","Testing","alfred@testing.com","Chief officer provider",678705552,948255042,654336688,"True","Credit","Immediate","Purchase","Standard","Customer National Testing Bank","True","Cash","15d","Bad Value","Standard","World Testing Bank","Monthly 1st",,"FALSE","FALSE"
"Main","helmet12","Helmet Enterprises Ltd","High quality solar water heater, photovoltaic panels - led lighting - solar kits lighting","12926282S","FALSE",,"Vendors","es_ES",,44,26566,,,"Spain",678161124,986235212,948784333,"TRUE","TRUE","TRUE","TRUE",150,"TRUE","FALSE",555654,,"Alfred","Alfred","Lujan","Testing","alfred@testing.com","Chief officer provider",678705552,948255042,654336688,"True","Credit","Immediate","Purchase","Standard","Customer National Testing Bank","True","Cash","15d","General Sales","Bad Value","World Testing Bank","Monthly 1st",,"FALSE","FALSE"
"Main","helmet13","Helmet Enterprises Ltd","High quality solar water heater, photovoltaic panels - led lighting - solar kits lighting","12926282S","FALSE",,"Vendors","es_ES",,44,26566,,,"Spain",678161124,986235212,948784333,"TRUE","TRUE","TRUE","TRUE",150,"TRUE","FALSE",555654,,"Alfred","Alfred","Lujan","Testing","alfred@testing.com","Chief officer provider",678705552,948255042,654336688,"True","Credit","Immediate","Purchase","Standard","Customer National Testing Bank","True","Cash","15d","General Sales","Standard","Bad Value","Monthly 1st",,"FALSE","FALSE"
"Main","helmet14","Helmet Enterprises Ltd","High quality solar water heater, photovoltaic panels - led lighting - solar kits lighting","12926282S","FALSE",,"Vendors","es_ES",,44,26566,,,"Spain",678161124,986235212,948784333,"TRUE","TRUE","TRUE","TRUE",150,"TRUE","FALSE",555654,,"Alfred","Alfred","Lujan","Testing","alfred@testing.com","Chief officer provider",678705552,948255042,654336688,"True","Credit","Immediate","Purchase","Standard","Customer National Testing Bank","True","Cash","15d","General Sales","Standard","World Testing Bank","Bad Value",,"FALSE","FALSE"
"Main","helmet15","Helmet Enterprises Ltd","High quality solar water heater, photovoltaic panels - led lighting - solar kits lighting","12926282S","FALSE",,"Vendors","es_ES",,44,26566,,,"Spain",678161124,986235212,948784333,"TRUE","TRUE","TRUE","TRUE",150,"TRUE","FALSE",555654,,"Alfred","Alfred","Lujan","Testing","alfred@testing.com","Chief officer provider",678705552,948255042,654336688,"True","Credit","Immediate","Purchase","Standard","Customer National Testing Bank","True","Cash","15d","General Sales","Standard","World Testing Bank","Monthly 1st",,"Bad Value","FALSE"
"Main","helmet16","Helmet Enterprises Ltd","High quality solar water heater, photovoltaic panels - led lighting - solar kits lighting","12926282S","FALSE",,"Vendors","es_ES",,44,26566,,,"Spain",678161124,986235212,948784333,"TRUE","TRUE","TRUE","TRUE",150,"TRUE","FALSE",555654,,"Alfred","Alfred","Lujan","Testing","alfred@testing.com","Chief officer provider",678705552,948255042,654336688,"True","Credit","Immediate","Purchase","Standard","Customer National Testing Bank","True","Cash","15d","General Sales","Standard","World Testing Bank","Monthly 1st",,"FALSE","Bad Value"
"Main",,"Helmet Enterprises Ltd","High quality solar water heater, photovoltaic panels - led lighting - solar kits lighting","12926282S","FALSE",,"Vendors","es_ES",,44,26566,,,"Spain",678161124,986235212,948784333,"TRUE","TRUE","TRUE","TRUE",150,"TRUE","FALSE",555654,,"Alfred","Alfred","Lujan","Testing","alfred@testing.com","Chief officer provider",678705552,948255042,654336688,"True","Credit","Immediate","Purchase","Standard","Customer National Testing Bank","True","Cash","15d","General Sales","Standard","World Testing Bank","Monthly 1st",,"FALSE","FALSE"
"Main","helmet18",,"High quality solar water heater, photovoltaic panels - led lighting - solar kits lighting","12926282S","FALSE",,"Vendors","es_ES",,44,26566,,,"Spain",678161124,986235212,948784333,"TRUE","TRUE","TRUE","TRUE",150,"TRUE","FALSE",555654,,"Alfred","Alfred","Lujan","Testing","alfred@testing.com","Chief officer provider",678705552,948255042,654336688,"True","Credit","Immediate","Purchase","Standard","Customer National Testing Bank","True","Cash","15d","General Sales","Standard","World Testing Bank","Monthly 1st",,"FALSE","FALSE"
